weights;nDCG5
"1.5;1.25;1";0.574949
"1.75;1.25;1";0.574949
"2.0;1.25;1";0.574949
"2.25;1.75;1";0.5749488497626057 
"2.0;1.5;1";0.5735024430114259 
"3.0;2.25;1";0.5735024430114259 
"2.0;1.5;1.25";0.5735024430114259 
"1.75;1.5;1";0.573502
"2.0;1.5;1";0.573502
"2.5;2.0;1";0.5721761154890552 
"2.75;2.25;1";0.5721761154890552 
"2.25;1.5;1";0.572176
"2.0;1.75;1";0.572176
"2.25;1.75;1";0.572176
"1.25;1;1";0.5708640647139318 
"2.5;1.75;1";0.570092
"2.25;2.0;1";0.570092
"2.5;2.0;1";0.570092
"1.5;1;1";0.5700917154792933 
"1.75;1;1";0.5700917154792933 
"2.0;1;1";0.5700917154792933 
"2.25;1;1";0.5700917154792933 
"2.5;1;1";0.5700917154792933 
"2.75;1;1";0.5700917154792933 
"3.0;1;1";0.5700917154792933 
"2.0;1.25;1";0.5700917154792933 
"2.25;1.25;1";0.5700917154792933 
"2.5;1.25;1";0.5700917154792933 
"2.75;1.25;1";0.5700917154792933 
"3.0;1.25;1";0.5700917154792933 
"2.25;1.5;1";0.5700917154792933 
"2.5;1.5;1";0.5700917154792933 
"2.75;1.5;1";0.5700917154792933 
"3.0;1.5;1";0.5700917154792933 
"2.75;1.75;1";0.5700917154792933 
"3.0;1.75;1";0.5700917154792933 
"3.0;2.0;1";0.5700917154792933 
"1.75;1;1.25";0.5700917154792933 
"2.0;1;1.25";0.5700917154792933 
"2.25;1;1.25";0.5700917154792933 
"2.5;1;1.25";0.5700917154792933 
"2.75;1;1.25";0.5700917154792933 
"3.0;1;1.25";0.5700917154792933 
"2.0;1.25;1.25";0.5700917154792933 
"2.25;1.25;1.25";0.5700917154792933 
"2.5;1.25;1.25";0.5700917154792933 
"2.75;1.25;1.25";0.5700917154792933 
"3.0;1.25;1.25";0.5700917154792933 
"2.25;1.5;1.25";0.5700917154792933 
"2.5;1.5;1.25";0.5700917154792933 
"2.75;1.5;1.25";0.5700917154792933
"2.75;2.0;1";0.569741
"1.75;1.5;1.25";0.569741
"2.0;1.5;1.25";0.569741
"2.25;1.5;1.25";0.569741
"2.0;1.75;1.25";0.569741
"2.25;1.75;1.25";0.569741
"2.5;1.75;1.25";0.569741
"1.75;1.25;1";0.5697405737308824 
"2.5;1.75;1";0.5697405737308824 
"2.75;2.0;1";0.5697405737308824 
"1.75;1.25;1.25";0.5697405737308824 
"1.5;1;1.25";0.5684823992575626 
"1.5;1.25;1";0.5676210953844993 
"3.0;2.5;1";0.5676210953844993 
"2.25;2.0;1.25";0.567621
"1.5;1.25;1.25";0.5649969938342525 
"1.75;1.5;1";0.5641621863996239 
"1.75;1.5;1.25";0.5641621863996239 
"2.5;2.0;1.25";0.564162
"2.75;2.0;1.25";0.564162
"2.0;1.75;1";0.5627580186556567 
"2.0;1.75;1.5";0.562758
"2.25;1.75;1.5";0.562758
"2.5;1.75;1.5";0.562413
"2.25;2.0;1.5";0.561372
"2.5;2.0;1.5";0.561372
"2.75;2.0;1.5";0.561372
"2.25;2.0;1";0.5613716503739817 
"2.75;2.5;1";0.5563203602997017 
"2.5;2.25;1";0.5560205355311304 
"3.0;2.75;1";0.5512451268084827 
"1.25;1;1.25";0.5453587734487552 
"1.25;1.25;1";0.5208656438103206 
"1.5;1.5;1";0.5208656438103206 
"1.75;1.75;1";0.5208656438103206 
"2.0;2.0;1";0.5208656438103206 
"2.25;2.25;1";0.5208656438103206 
"2.5;2.5;1";0.5208656438103206 
"2.75;2.75;1";0.5208656438103206 
"3.0;3.0;1";0.5208656438103206 
"1.5;1.5;1.25";0.5182415422600738 
"1;1;1";0.5018326606263671 
"1.25;1.25;1.25";0.5018326606263671 
"2.75;3.0;1";0.48529388387881583 
"2.5;2.75;1";0.4837302083533126 
"2.25;2.5;1";0.4728863976508134 
"1.75;2.0;1";0.47134601633077455 
"2.0;2.25;1";0.47063215730599983 
"1;1;1.25";0.46866196647276764 
"1.5;1.75;1";0.4611169467945928 
"1.25;1.5;1";0.45454420157139347 
"2.5;3.0;1";0.45454420157139347 
"2.25;2.75;1";0.4492641928717886 
"2.0;2.5;1";0.4490246310512914 
"1.25;1.5;1.25";0.44850652733166857 
"1.75;2.25;1";0.44816726611537466 
"1;1.25;1";0.44110234577997043 
"1.5;2.0;1";0.43938016449119444 
"2.25;3.0;1";0.43938016449119444 
"2.0;2.75;1";0.4333059073852237 
"1.25;1.75;1";0.4329843050526453 
"1;1.5;1";0.42678436751197474 
"1.5;2.25;1";0.42678436751197474 
"1.75;2.5;1";0.42678436751197474 
"2.0;3.0;1";0.42678436751197474 
"1;1.25;1.25";0.4238315143392142 
"1;1.75;1";0.42373791592538546 
"1;2.0;1";0.42373791592538546 
"1.25;2.0;1";0.42373791592538546 
"1;2.25;1";0.42373791592538546 
"1.25;2.25;1";0.42373791592538546 
"1;2.5;1";0.42373791592538546 
"1.25;2.5;1";0.42373791592538546 
"1.5;2.5;1";0.42373791592538546 
"1;2.75;1";0.42373791592538546 
"1.25;2.75;1";0.42373791592538546 
"1.5;2.75;1";0.42373791592538546 
"1.75;2.75;1";0.42373791592538546 
"1;3.0;1";0.42373791592538546 
"1.25;3.0;1";0.42373791592538546 
"1.5;3.0;1";0.42373791592538546 
"1.75;3.0;1";0.42373791592538546 
"1;1.5;1.25";0.4206382378308705 
